EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,SECTOR,SIZE_BUCKET
010548984,MCMURRAY CHARTIERS CREEK COMMUNITY,,237 SLEEPY HOLLOW RD,PITTSBURGH,PA,15216,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,,Unknown,Unknown
010561621,SQUIRREL HILL BASEBALL ASSOCIATION,% RANDY FRANKEL,425 KURT DR,PITTSBURGH,PA,15243,0000,03,3,1200,200411,1,16,000000000,1,01,202312,1,3,01,0,12,249.0,99115.0,99115.0,N63,,Recreation & Sports,Small
010563073,TREASURE HOUSE,,7607 MCKNIGHT RD,PITTSBURGH,PA,15237,0000,03,3,1000,200207,1,16,000000000,1,01,202312,6,5,01,0,12,1199125.0,927702.0,280626.0,P29,POWER SALLEY E TTEE,Human Services,Medium
010587702,BODIOGRAPHY CONTEMPOARY BALLET,% MARIA CARUSO,5824 FORBES AVE STE 3,PITTSBURGH,PA,15217,0000,03,3,2000,200207,1,16,000000000,1,01,202412,1,4,01,0,12,3053.0,125777.0,125777.0,A63,,Arts & Culture,Small
010605256,JESUS IS THE ANSWER MINISTRIES OF WESTERN PENNSYLVANIA,% REGINALD E WRIGHT SR,258 COLUMBIA AVE,PENN HILLS,PA,15235,0000,03,3,1000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,,Religion,Unknown
010617023,CENTER OF LIFE,% TIMOTHY L SMITH SR,161 HAZELWOOD AVE,PITTSBURGH,PA,15207,0000,03,3,1000,200204,1,15,000000000,1,01,202312,6,6,01,0,12,3824182.0,3242288.0,3242288.0,P40,,Human Services,Large
010659779,GOLDEN TRIANGLE PERFORMANCE ENSEMBLE,% LEONORE KUMER,2014 DENNING WAY,N VERSAILLES,PA,15137,0000,03,3,1200,200508,1,16,000000000,1,01,202312,1,3,02,0,12,6456.0,36748.0,36748.0,N60,,Recreation & Sports,Micro
010694058,NEW LIFE FAMILY WORSHIP CENTER OF PITTSBURGH,% JAMES EDWELL,2007 GARRICK DR,PITTSBURGH,PA,15235,0000,03,3,7000,201601,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,,Religion,Unknown
010729457,KENTUCKY AVENUE SCHOOL,,5701 5TH AVE,PITTSBURGH,PA,15232,0000,03,3,2000,200301,1,11,000000000,1,01,202306,4,5,01,0,06,418907.0,891260.0,891260.0,B20,,Education,Medium
010732500,HILL DISTRICT CONSENSUS GROUP,% HILL HOUSE CENTER,409 DINWIDDIE ST,PITTSBURGH,PA,15219,0000,03,3,1000,200311,1,15,000000000,1,01,202308,5,4,01,0,08,543244.0,373167.0,373167.0,S99,,Community Development,Medium
010752319,PITTSBURGH REGIONAL HEALTHCARE INITIATIVE,% KENNETH T SEGEL,625 LIBERTY AVE STE 2500,PITTSBURGH,PA,15222,0000,03,3,1000,200304,1,17,000000000,1,01,202312,6,4,01,0,12,2308940.0,438559.0,438559.0,E05,,Health,Medium
010766498,ANCIENT ORDER OF HIBERNIANS IN AMERICA,% JIM HERRIE,250 S EVALINE ST,PITTSBURGH,PA,15224,0832,08,9,1000,194505,1,00,279265000,5,01,202412,0,0,02,0,12,0.0,0.0,0.0,Y40,36 AL 21,Mutual Benefit,Micro
010806304,PENNSYLVANIA AFFORDABLE HOUSING CORPORATION,% PERRY OMALLEY,11743 FRANKSTOWN ROAD,PITTBURGH,PA,15235,0000,03,3,1000,200705,1,16,000000000,1,01,202309,6,5,01,0,09,2714707.0,986048.0,865844.0,L20,,Housing & Shelter,Medium
010819772,PTA PENNSYLVANIA CONGRESS,% BRIDGET WELTE,100 BRUNO LN,IMPERIAL,PA,15126,2052,03,9,1200,197001,1,16,059035040,5,01,202406,3,3,01,0,06,35445.0,86159.0,15790.0,,WILSON ELEMENTARY PTA,Unknown,Small
010861836,REPAIRER OF THE BREACH MINISTRIES,% SIDNEY M MUSOBA,754 BAJO ST,PITTSBURGH,PA,15210,0000,03,3,1200,202012,1,10,000000000,1,01,202312,0,0,06,0,12,0.0,0.0,0.0,X20,,Religion,Micro
010867393,C R JRS CHIP INC,% THE FIRST TEE OF PITTSBURGH,5370 SCHENLEY DR,PITTSBURGH,PA,15217,0000,03,3,2000,200709,1,15,000000000,1,01,202312,7,6,01,0,12,7509120.0,1453187.0,1453187.0,B99,FIRST TEE OF PITTSBURGH,Education,Large
010873396,AMERICAN YOUTH JOURNALISM CORPS,% AUBREY BRUCE,609 PENN AVE APT 1015,PITTSBURGH,PA,15222,0000,03,3,2300,201708,1,15,000000000,1,01,202312,0,0,02,0,12,0.0,0.0,0.0,A70,AYJC,Arts & Culture,Micro
010880050,NATIONAL INSTITUTE FOR NEWMAN STUDIES,,211 N DITHRIDGE ST,PITTSBURGH,PA,15213,0928,03,9,1700,194603,1,10,031150120,5,01,,0,0,06,0,12,,,,,,Unknown,Unknown
010881502,SECOND BAPTIST CHURCH OF THE MCKEES ROCKS,% JACINDA COHEN,204 LOCUST ST,MCKEES ROCKS,PA,15136,0000,03,3,7000,201712,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,,Religion,Unknown
010919402,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% BRYAN HAINES,4 SMITHFIELD STREET 9TH FL,PITTSBURGH,PA,15222,0735,05,9,3000,194411,2,00,263000000,5,01,202406,0,0,02,0,06,0.0,0.0,0.0,,1137 UE LOCAL,Unknown,Micro
010927360,HIGHMARK HEALTH,% HIGHMARK TAX DEPT,120 5TH AVE STE 922,PITTSBURGH,PA,15222,6169,03,9,1000,201510,1,21,000000000,1,01,202012,0,0,01,0,12,,,,E21,PRIMARY CARE GROUP 8 INC,Health,Unknown
010968274,BAUERSTOWN BASEBALL & SOFTBALL ASSOCIATION,% ROBERT EYLER,152 KOEHLER ST,ETNA,PA,15223,0000,03,3,1000,201103,1,16,000000000,1,01,202312,4,4,01,0,12,112940.0,140907.0,137225.0,O50,,Youth Development,Small
016173503,EVELYN E STRICKLIN SCHOLARSHIP FOUNDATION,% PNC BANK DE,500 1ST AVE,PITTSBURGH,PA,15219,0000,03,3,1000,200206,1,04,000000000,2,01,202409,6,5,00,1,09,1800899.0,508372.0,,B82,,Education,Medium
016208130,PRYOR E ARLENE R NEUBER CHARITABLE TR,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200305,1,04,000000000,1,01,202312,7,7,00,1,12,9134439.0,5989786.0,,T99,,Philanthropy & Foundations,Large
016226621,WILLIAM F TROXELL CHARITABLE TR,% PNC BANK NA,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200406,1,04,000000000,2,01,202312,6,5,00,1,12,1399722.0,675519.0,,T22,,Philanthropy & Foundations,Medium
016258555,ARCELORMITTAL TUBULAR PRODUCTS SHELBY INC,% JIM DRABIK,FOUR GATEWAY CENTER 444 LIBERTY AVE,PITTSBURGH,PA,15222,0000,17,3,1000,201401,2,00,000000000,2,01,202408,0,0,02,0,08,0.0,0.0,0.0,Y43,,Mutual Benefit,Micro
020460247,GRANITE STATE ELEC CO POST RET BEN TR FOR EMP SUB TO COLLECT BARGAIN,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199308,2,00,264000000,2,01,202312,9,9,01,0,12,149961439.0,50821279.0,18284346.0,,POST RETIRE BEN FOR NON UNION,Unknown,Major
020460249,GRANITE STATE ELECTRIC CO RET BEN TR FOR UNION EMPLOYEES,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199308,2,00,264265000,2,01,202312,9,8,01,0,12,351584764.0,13921568.0,-1480463.0,,,Unknown,Major
020559825,TICKETS FOR KIDS FOUNDATION,% MARCIA KOWN,700 BLAW AVE STE 105,PITTSBURGH,PA,15238,0000,03,3,1000,200205,1,15,000000000,1,01,202312,5,7,01,0,12,670821.0,7245237.0,7203179.0,O50,,Youth Development,Large
020560694,THE BANK OF NEW YORK MELLON CORPORATION SUPPLEMENTAL UNEMPLOYE,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,17,3,1000,200301,2,00,000000000,2,01,202312,0,9,01,0,12,0.0,107148538.0,107148538.0,Y24,,Mutual Benefit,Major
020589233,VETERANS OF FOREIGN WARS OF THE UNI TED STATES AUX DEPT OF PA,% KENNETH FRAZIER,3801 SAW MILL RUN BLVD,PITTSBURGH,PA,15227,5748,19,9,1000,201007,2,00,000000000,5,01,202406,0,0,02,0,06,0.0,0.0,0.0,W30,VFW AUX TO BRENTWOOD POST NO 1810,Public Benefit,Micro
020612009,SHALER AREA SOCCER BOOSTERS,% JULIE KEENAN,201 ANDREW DR,GLENSHAW,PA,15116,0000,03,3,1000,202109,1,16,000000000,5,01,202406,0,0,02,0,06,0.0,0.0,0.0,N12,,Recreation & Sports,Micro
020614185,UPMC,% CORPORATE TAX DEPT,600 GRANT ST FL 56,PITTSBURGH,PA,15219,9707,03,9,1000,198301,0,16,000000000,1,01,201906,0,0,01,0,06,,,,,THE HERITAGE SHADYSIDE,Unknown,Unknown
020627735,AN OUNCE OF PREVENTION INC,% YAWATTA SAYLES,90 PORT PERRY RD,N VERSAILLES,PA,15137,0000,03,3,1000,201407,1,15,000000000,1,01,202112,0,0,02,0,12,0.0,0.0,0.0,Z99,,Unknown,Micro
020642820,REPUBLIC RETIREE VEBA BENEFIT TR,% BOARD OF TRUSTESS 5 GATEWAY CNTR,60 BOULEVARD OF THE ALLIES 5TH FL,PITTSBURGH,PA,15222,0000,09,3,1000,200405,2,00,000000000,1,01,202406,9,8,01,0,06,86922286.0,17425120.0,6355463.0,Y43,,Mutual Benefit,Major
020649650,CHILDRENS SICKLE CELL FOUNDATION,% ANDREA M WILLIAMS,226 PAUL STREET 105,PITTSBURGH,PA,15211,0000,03,3,5000,200405,1,15,000000000,1,01,202312,4,5,01,0,12,432333.0,690396.0,670388.0,E50,GOVE BUSINESS CENTER,Health,Medium
020679892,CHABAD LUBAVITCH OF FOX CHAPEL INC,% RABBI ELIYOHU ROSENFELD,1343 OLD FREEPORT RD,PITTSBURGH,PA,15238,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,01,,,,X30,,Religion,Unknown
020704553,IGWEBUIKE ASSOCIATION OF PITTSBURGH METROPOLITAN AREA,% BENEDETTE N CHUKWUMEZIE,906 LYNDA LN,N VERSAILLES,PA,15137,0000,03,3,1000,202111,1,15,000000000,1,01,202312,0,0,02,0,12,0.0,0.0,0.0,A23,,Arts & Culture,Micro
020704699,GATEWAY MEDICAL SOCIETY INC,% HILLHOUSE ASSOCIATION,925 BRIGHTON ROAD SUITE 1B,PITTSBURGH,PA,15233,0000,03,3,2100,200509,1,15,000000000,1,01,202312,4,4,01,0,12,102037.0,125848.0,82101.0,B99,,Education,Small
020726918,MONTOUR VALLEY FIREMENS RELIEF FUND,% ROBERT LAMBERT,111 PINE ST,IMPERIAL,PA,15126,0000,03,3,1000,200508,1,15,000000000,1,01,202312,4,3,01,0,12,129925.0,70758.0,70758.0,M112,,Public Safety,Small
020733877,2004 CARITA FOUNDATION,% BNY MELLON TR OF DELAWARE,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,200511,1,04,000000000,0,01,202406,7,6,00,1,06,5338625.0,3322490.0,,T20,,Philanthropy & Foundations,Large
020758876,NATIONAL HOCKEY LEAGUE PLAYERS HEALTH AND BENEFITS FUND,% CDS ADMINISTRATORS INC,60 BOULEVARD OF THE ALLIES 5TH FL,PITTSBURGH,PA,15222,0000,09,3,1000,200702,2,00,000000000,2,01,202406,9,9,01,0,06,52788780.0,60841623.0,46866332.0,Y44,,Mutual Benefit,Major
020761407,EDUNATIONS INC,% MEMORIAL PARK CHURCH,8800 PEEBLES RD,ALLISON PARK,PA,15101,0000,03,3,2100,200804,1,15,000000000,1,01,202308,3,6,01,0,08,44153.0,1037822.0,1002992.0,Q33,,International Relief,Large
020801251,BURGH BEARS,% RALPH L BARNES III,1552 BERKSHIRE AVE,PITTSBURGH,PA,15226,0000,07,3,1000,201905,2,00,000000000,1,01,202212,0,0,02,0,12,0.0,0.0,0.0,N50,,Recreation & Sports,Micro
026006301,ARTHUR G LEACOCK TRUST UW,% MELLON TRUST OF NEW ENGLAND NA,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,200605,1,04,000000000,1,01,202312,6,5,00,1,12,1402879.0,676513.0,,T20,DOBBYN ROBERT E TTEE,Philanthropy & Foundations,Medium
026006309,PAUL ISABEL FBO NEWFIELDS LIBRARY TR 10682496005,,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,000000000,5,12,202408,4,3,00,1,08,257729.0,27927.0,,,,Unknown,Micro
030322037,SISTER THEA BOWMAN BLACK CATHOLIC EDUCATION FOUNDATION,,8235 OHIO RIVER BLVD,PITTSBURGH,PA,15202,0000,03,3,1000,199107,1,15,602000000,1,01,202306,4,4,01,0,06,474319.0,346690.0,333952.0,,,Unknown,Medium
030398310,CHURCH OF SERVANTS INC,% WILLIAM R BARONTINI,8700 CASA GRANDE DR,PITTSBURGH,PA,15237,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,,Religion,Unknown
030405763,THREE RIVERS CHAPTER OF ACHMM,% ENGINEERS SOCIETY OF WESTERN PA,1121 DEXTER ST,PITTSBURGH,PA,15220,0000,03,3,2000,201009,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,J03,,Employment,Micro
030445350,SEEDS OF HOPE CHURCH,% JOHN PAUL CHANEY,4748 FRIENDSHIP AVE,PITTSBURGH,PA,15224,3741,03,9,7000,194001,1,10,000000000,5,01,,0,0,06,0,12,,,,,,Unknown,Unknown
030448978,GOSPEL NETWORK FOR EAST-WEST SERVICES INC,% DAVID WARNOCK,PO BOX 41094,PITTSBURGH,PA,15202,0000,03,3,7000,200208,1,15,000000000,1,01,202312,2,3,02,0,12,15504.0,45843.0,45843.0,X83,G-NEWS,Religion,Micro
030456313,MCKEESPORT NEIGHBORHOOD INITIATIVES INC,% SHERYL SEARS,502 5TH AVE STE 301,MCKEESPORT,PA,15132,0000,03,3,1200,200501,1,15,000000000,1,01,202406,0,0,02,0,06,0.0,0.0,0.0,L202,MCKEESPORT NEIGHBORHOOD INITIATIVES,Housing & Shelter,Micro
030480551,MOUNTAIN VIEW CANCER ASSOCIATES INC,% CHARLES FLACH,600 GRANT STREET 58TH FL CORP TAX,PITTSBURGH,PA,15219,0000,03,3,1000,200705,1,12,000000000,1,01,202406,8,9,01,0,06,18367984.0,82612264.0,82612264.0,E20,,Health,Major
030483260,PROPEL SCHOOLS INC,% HARMONY PRINCE,3447 EAST CARSON ST STE 200,PITTSBURGH,PA,15203,0000,03,3,2000,200308,1,11,000000000,1,01,202306,8,8,01,0,06,27115373.0,30999096.0,30999096.0,B29,PROPEL CHARTER SCHOOL-HOMSTEAD,Education,Major
030483506,ALLEGHENY-UNION BAPTIST ASSOCIATION,% GWENDOLYN P WARE,2700 CENTRE AVE,PITTSBURGH,PA,15219,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,06,,,,X20,,Religion,Unknown
030491543,CCOPO INC,% EVANNE ADDAMS,312 DICKSON AVE,PITTSBURGH,PA,15202,0000,03,3,2100,200306,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A23,POLISH CULTURAL COUNCIL,Arts & Culture,Micro
