EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548984,MCMURRAY CHARTIERS CREEK COMMUNITY,,237 SLEEPY HOLLOW RD,PITTSBURGH,PA,15216,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010561621,SQUIRREL HILL BASEBALL ASSOCIATION,% RANDY FRANKEL,425 KURT DR,PITTSBURGH,PA,15243,0000,03,3,1200,200411,1,16,000000000,1,01,202312,1,3,01,0,12,249,99115,99115,N63,
010563073,TREASURE HOUSE,,7607 MCKNIGHT RD,PITTSBURGH,PA,15237,0000,03,3,1000,200207,1,16,000000000,1,01,202312,6,5,01,0,12,1199125,927702,280626,P29,POWER SALLEY E TTEE
010587702,BODIOGRAPHY CONTEMPOARY BALLET,% MARIA CARUSO,5824 FORBES AVE STE 3,PITTSBURGH,PA,15217,0000,03,3,2000,200207,1,16,000000000,1,01,202412,1,4,01,0,12,3053,125777,125777,A63,
010605256,JESUS IS THE ANSWER MINISTRIES OF WESTERN PENNSYLVANIA,% REGINALD E WRIGHT SR,258 COLUMBIA AVE,PENN HILLS,PA,15235,0000,03,3,1000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010617023,CENTER OF LIFE,% TIMOTHY L SMITH SR,161 HAZELWOOD AVE,PITTSBURGH,PA,15207,0000,03,3,1000,200204,1,15,000000000,1,01,202312,6,6,01,0,12,3824182,3242288,3242288,P40,
010659779,GOLDEN TRIANGLE PERFORMANCE ENSEMBLE,% LEONORE KUMER,2014 DENNING WAY,N VERSAILLES,PA,15137,0000,03,3,1200,200508,1,16,000000000,1,01,202312,1,3,02,0,12,6456,36748,36748,N60,
010694058,NEW LIFE FAMILY WORSHIP CENTER OF PITTSBURGH,% JAMES EDWELL,2007 GARRICK DR,PITTSBURGH,PA,15235,0000,03,3,7000,201601,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010729457,KENTUCKY AVENUE SCHOOL,,5701 5TH AVE,PITTSBURGH,PA,15232,0000,03,3,2000,200301,1,11,000000000,1,01,202306,4,5,01,0,06,418907,891260,891260,B20,
010732500,HILL DISTRICT CONSENSUS GROUP,% HILL HOUSE CENTER,409 DINWIDDIE ST,PITTSBURGH,PA,15219,0000,03,3,1000,200311,1,15,000000000,1,01,202308,5,4,01,0,08,543244,373167,373167,S99,
010752319,PITTSBURGH REGIONAL HEALTHCARE INITIATIVE,% KENNETH T SEGEL,625 LIBERTY AVE STE 2500,PITTSBURGH,PA,15222,0000,03,3,1000,200304,1,17,000000000,1,01,202312,6,4,01,0,12,2308940,438559,438559,E05,
010766498,ANCIENT ORDER OF HIBERNIANS IN AMERICA,% JIM HERRIE,250 S EVALINE ST,PITTSBURGH,PA,15224,0832,08,9,1000,194505,1,00,279265000,5,01,202412,0,0,02,0,12,0,0,0,Y40,36 AL 21
010806304,PENNSYLVANIA AFFORDABLE HOUSING CORPORATION,% PERRY OMALLEY,11743 FRANKSTOWN ROAD,PITTBURGH,PA,15235,0000,03,3,1000,200705,1,16,000000000,1,01,202309,6,5,01,0,09,2714707,986048,865844,L20,
010819772,PTA PENNSYLVANIA CONGRESS,% BRIDGET WELTE,100 BRUNO LN,IMPERIAL,PA,15126,2052,03,9,1200,197001,1,16,059035040,5,01,202406,3,3,01,0,06,35445,86159,15790,,WILSON ELEMENTARY PTA
010861836,REPAIRER OF THE BREACH MINISTRIES,% SIDNEY M MUSOBA,754 BAJO ST,PITTSBURGH,PA,15210,0000,03,3,1200,202012,1,10,000000000,1,01,202312,0,0,06,0,12,0,0,0,X20,
010867393,C R JRS CHIP INC,% THE FIRST TEE OF PITTSBURGH,5370 SCHENLEY DR,PITTSBURGH,PA,15217,0000,03,3,2000,200709,1,15,000000000,1,01,202312,7,6,01,0,12,7509120,1453187,1453187,B99,FIRST TEE OF PITTSBURGH
010873396,AMERICAN YOUTH JOURNALISM CORPS,% AUBREY BRUCE,609 PENN AVE APT 1015,PITTSBURGH,PA,15222,0000,03,3,2300,201708,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A70,AYJC
010880050,NATIONAL INSTITUTE FOR NEWMAN STUDIES,,211 N DITHRIDGE ST,PITTSBURGH,PA,15213,0928,03,9,1700,194603,1,10,031150120,5,01,,0,0,06,0,12,,,,,
010881502,SECOND BAPTIST CHURCH OF THE MCKEES ROCKS,% JACINDA COHEN,204 LOCUST ST,MCKEES ROCKS,PA,15136,0000,03,3,7000,201712,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010919402,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% BRYAN HAINES,4 SMITHFIELD STREET 9TH FL,PITTSBURGH,PA,15222,0735,05,9,3000,194411,2,00,263000000,5,01,202406,0,0,02,0,06,0,0,0,,1137 UE LOCAL
010927360,HIGHMARK HEALTH,% HIGHMARK TAX DEPT,120 5TH AVE STE 922,PITTSBURGH,PA,15222,6169,03,9,1000,201510,1,21,000000000,1,01,202012,0,0,01,0,12,,,,E21,PRIMARY CARE GROUP 8 INC
010968274,BAUERSTOWN BASEBALL & SOFTBALL ASSOCIATION,% ROBERT EYLER,152 KOEHLER ST,ETNA,PA,15223,0000,03,3,1000,201103,1,16,000000000,1,01,202312,4,4,01,0,12,112940,140907,137225,O50,
016173503,EVELYN E STRICKLIN SCHOLARSHIP FOUNDATION,% PNC BANK DE,500 1ST AVE,PITTSBURGH,PA,15219,0000,03,3,1000,200206,1,04,000000000,2,01,202409,6,5,00,1,09,1800899,508372,,B82,
016208130,PRYOR E ARLENE R NEUBER CHARITABLE TR,% PNC BANK,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200305,1,04,000000000,1,01,202312,7,7,00,1,12,9134439,5989786,,T99,
016226621,WILLIAM F TROXELL CHARITABLE TR,% PNC BANK NA,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200406,1,04,000000000,2,01,202312,6,5,00,1,12,1399722,675519,,T22,
016258555,ARCELORMITTAL TUBULAR PRODUCTS SHELBY INC,% JIM DRABIK,FOUR GATEWAY CENTER 444 LIBERTY AVE,PITTSBURGH,PA,15222,0000,17,3,1000,201401,2,00,000000000,2,01,202408,0,0,02,0,08,0,0,0,Y43,
020460247,GRANITE STATE ELEC CO POST RET BEN TR FOR EMP SUB TO COLLECT BARGAIN,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199308,2,00,264000000,2,01,202312,9,9,01,0,12,149961439,50821279,18284346,,POST RETIRE BEN FOR NON UNION
020460249,GRANITE STATE ELECTRIC CO RET BEN TR FOR UNION EMPLOYEES,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,09,3,1000,199308,2,00,264265000,2,01,202312,9,8,01,0,12,351584764,13921568,-1480463,,
020559825,TICKETS FOR KIDS FOUNDATION,% MARCIA KOWN,700 BLAW AVE STE 105,PITTSBURGH,PA,15238,0000,03,3,1000,200205,1,15,000000000,1,01,202312,5,7,01,0,12,670821,7245237,7203179,O50,
020560694,THE BANK OF NEW YORK MELLON CORPORATION SUPPLEMENTAL UNEMPLOYE,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253,0000,17,3,1000,200301,2,00,000000000,2,01,202312,0,9,01,0,12,0,107148538,107148538,Y24,
020589233,VETERANS OF FOREIGN WARS OF THE UNI TED STATES AUX DEPT OF PA,% KENNETH FRAZIER,3801 SAW MILL RUN BLVD,PITTSBURGH,PA,15227,5748,19,9,1000,201007,2,00,000000000,5,01,202406,0,0,02,0,06,0,0,0,W30,VFW AUX TO BRENTWOOD POST NO 1810
020612009,SHALER AREA SOCCER BOOSTERS,% JULIE KEENAN,201 ANDREW DR,GLENSHAW,PA,15116,0000,03,3,1000,202109,1,16,000000000,5,01,202406,0,0,02,0,06,0,0,0,N12,
020614185,UPMC,% CORPORATE TAX DEPT,600 GRANT ST FL 56,PITTSBURGH,PA,15219,9707,03,9,1000,198301,0,16,000000000,1,01,201906,0,0,01,0,06,,,,,THE HERITAGE SHADYSIDE
020627735,AN OUNCE OF PREVENTION INC,% YAWATTA SAYLES,90 PORT PERRY RD,N VERSAILLES,PA,15137,0000,03,3,1000,201407,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,Z99,
020642820,REPUBLIC RETIREE VEBA BENEFIT TR,% BOARD OF TRUSTESS 5 GATEWAY CNTR,60 BOULEVARD OF THE ALLIES 5TH FL,PITTSBURGH,PA,15222,0000,09,3,1000,200405,2,00,000000000,1,01,202406,9,8,01,0,06,86922286,17425120,6355463,Y43,
020649650,CHILDRENS SICKLE CELL FOUNDATION,% ANDREA M WILLIAMS,226 PAUL STREET 105,PITTSBURGH,PA,15211,0000,03,3,5000,200405,1,15,000000000,1,01,202312,4,5,01,0,12,432333,690396,670388,E50,GOVE BUSINESS CENTER
