EIN,ORG_NAME,AVG_RECENT_REVENUE,AVG_PRIOR_REVENUE,PCT_CHANGE,MOMENTUM_SCORE,VOLATILITY,MOMENTUM_CLASS
10561621,Squirrel Hill Baseball Association,106166,138292,-23.23,-24603,0.2,strong_momentum_down
10563073,Treasure House,237904,282963,-15.92,217102,0.39,weak_down
10587702,Bodiography Contempoary Ballet,94763,112549,-15.8,41771,0.27,weak_down
10617023,Center Of Life,2684754,1086649,147.07,3473427,0.85,turbulent
10659779,Golden Triangle Performance Ensemble,28922,29188,-0.91,18458,0.2,stable
10729457,Kentucky Avenue School,840698,869509,-3.31,164425,0.15,stable
10732500,Hill District Consensus Group,680724,183590,270.79,657595,0.94,turbulent
10752319,Pittsburgh Regional Healthcare Initiative,544718,1787169,-69.52,-230865,0.79,turbulent
10806304,Pennsylvania Affordable Housing Corporation,785007,284166,176.25,1468535,1.08,turbulent
10819772,Pta Pennsylvania Congress,14289,20716,-31.03,8904,0.41,uncategorized
10867393,C R Jrs Chip Inc,1597538,2257117,-29.22,-599679,0.58,turbulent
10968274,Bauerstown Baseball & Softball Association,97475,130578,-25.35,49931,0.21,uncategorized
16173503,Evelyn E Stricklin Scholarship Foundation,90966,282760,-67.83,184217,1.2,turbulent
16208130,Pryor E Arlene R Neuber Charitable Tr,497890,1002362,-50.33,-173588,0.61,turbulent
16226621,William F Troxell Charitable Tr,45187,92681,-51.24,-4462,0.76,turbulent
20460247,Granite State Elec Co Post Ret Ben Tr For Emp Sub To Collect Bargain,19424722,17164365,13.17,6977285,0.36,weak_up
20460249,Granite State Electric Co Ret Ben Tr For Union Employees,65080561,30772962,111.49,28752791,0.78,turbulent
20559825,Tickets For Kids Foundation,3474171,7521236,-53.81,4004145,0.4,uncategorized
20560694,The Bank Of New York Mellon Corporation Supplemental Unemploye,42680409,54265546,-21.35,-25806163,0.37,strong_momentum_down
20642820,Republic Retiree Veba Benefit Tr,8452998,10699204,-20.99,-3996738,0.34,strong_momentum_down
20649650,Childrens Sickle Cell Foundation,706912,263855,167.92,199663,0.7,turbulent
20704699,Gateway Medical Society Inc,187802,175762,6.85,-22295,0.33,weak_up
20726918,Montour Valley Firemens Relief Fund,59868,53086,12.77,15846,0.14,weak_up
20733877,2004 Carita Foundation,538915,409324,31.66,-115737,0.58,turbulent
20758876,National Hockey League Players Health And Benefits Fund,43474874,39955528,8.81,4744213,0.36,weak_up
20761407,Edunations Inc,710257,390349,81.95,378670,0.58,turbulent
26006301,Arthur G Leacock Trust Uw,128902,174552,-26.15,37330,0.59,turbulent
26006309,Paul Isabel Fbo Newfields Library Tr 10682496005,15799,16227,-2.63,5120,0.55,turbulent
30322037,Sister Thea Bowman Black Catholic Education Foundation,253590,208614,21.56,84052,0.36,strong_momentum_up
30448978,Gospel Network For East West Services Inc,104448,77570,34.65,-77916,0.57,turbulent
30480551,Mountain View Cancer Associates Inc,71908197,57530535,24.99,-3392770,0.27,uncategorized
30483260,Propel Schools Inc,27785101,22961249,21.01,3491110,0.33,strong_momentum_up
30491543,Ccopo Inc,26724,38507,-30.6,-20085,0.42,strong_momentum_down
30513070,Appalachian Work Camp Program Inc,135606,145210,-6.61,112169,0.28,weak_down
30596955,Girard Lutheran Housing Corporation,268172,249735,7.38,8720,0.12,weak_up
36086723,Paul And Gene Doby Charitable Tr,60429,66286,-8.84,-72946,0.68,turbulent
41302043,Lucy C Farnsworth Tr Uw,453182,427040,6.12,186262,0.31,weak_up
42210741,Dean Foundation For Little Children Inc,397600,200564,98.24,-54030,0.84,turbulent
42392828,John L Brandegee Trust,3008724,1533461,96.2,3450259,0.64,turbulent
42648729,William H Sweatt Tr Uw Art 12101657,153994,77371,99.03,208897,0.69,turbulent
42790229,Frances Emily Hunt Trust 10 9571 00 0 Codicil Fund,57384,48585,18.11,47432,0.54,turbulent
43220614,Eversource Retirees Benefit Trust,66892531,39143192,70.89,-17151550,0.66,turbulent
43256436,Neely Charitable Fund 080440,16324,17661,-7.57,-13748,0.62,turbulent
43296043,Fund For Charitable Giving,57118310,20184942,182.97,-6852097,1.41,turbulent
43323314,Kremer Charitable Remainder Tr,36768,20047,83.4,-30935,0.88,turbulent
43388014,Sea Breeze Foundation,185227,97548,89.88,56869,0.7,turbulent
43504246,Chandler Grant Glaucoma Society Inc,18758,14966,25.34,12365,0.37,strong_momentum_up
43587471,Idea Foundry,807900,1114982,-27.54,-1332447,0.42,strong_momentum_down
43629853,Pittsburgh Latin Mass Community,2922,6000,-51.3,-3297,0.91,turbulent
43632700,Latter Glory Ministries,174118,127458,36.61,133203,0.56,turbulent
43731472,Elizabeth S Black Charitable Tr,689393,897064,-23.15,-264206,0.31,strong_momentum_down
43747289,Eqt Foundation,2125969,8217919,-74.13,-181711,1.54,turbulent
43786410,Fun And Freedom Basketball Inc,54387,77941,-30.22,21783,0.25,uncategorized
43812442,Plum Hockey Association Inc,93445,92646,0.86,32537,0.13,stable
46009080,Knollwood Cemetery Perp Care Trust 10116230000,687880,634602,8.4,313798,0.3,weak_up
46009389,Knollwood Cemetary Bronze Memorial,111229,103024,7.96,-1028,0.27,weak_up
46014374,Horatio Davis Tr Uw Davis Fund,54650,35174,55.37,-51024,0.97,turbulent
46040470,John Calvin Noyes Scholarship Fund,57670,39250,46.93,11452,0.3,strong_momentum_up
46046890,Dean Welfare Trust Tr U Decl,114902,61001,88.36,15581,0.7,turbulent
46048040,John Brooks Fenno Fund,64274,50356,27.64,19076,0.49,strong_momentum_up
46053426,French Foundation,898526,533875,68.3,298316,0.51,turbulent
46061022,James D Phillips Tr Uw Atr5 Par 2 10 9622 00 1,458555,182533,151.22,864634,0.94,turbulent
46061034,J D Philips Tr Uw Art 5 Par 2,104234,72861,43.06,24472,0.85,turbulent
46078603,Gifford A Cochran Tr Ui 14 7842 00 9,21352,10820,97.34,26957,0.76,turbulent
46080005,Cotting School For Handicapped,5958,3399,75.25,5449,0.55,turbulent
46080024,Bishop Of The Episcopal Diocese,7774,10240,-24.08,-7780,0.73,turbulent
46080422,King Caesars Fund,18104,41934,-56.83,-13816,0.87,turbulent
46081375,Amer Class Leag Of Miami Univ Trust 1997 Nect,25820,47894,-46.09,-22249,0.73,turbulent
