EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,SECTOR,SIZE_BUCKET,ORG_NAME,AVG_RECENT_REVENUE,AVG_PRIOR_REVENUE,PCT_CHANGE,MOMENTUM_SCORE,VOLATILITY,MOMENTUM_CLASS,REVENUE,PROGRAM_PCT,IS_HOLLOW,IS_TURBULENT
113295557,MARC A SOMBERG MEMORIAL FOUNDATION,% MILTON SOMBERG MARILYN SOMBERG,33 LINSHAW AVE,PITTSBURGH,PA,15205,0000,03,3,1000,199605,1,04,602000000,2,01,202312,4,3,00,1,12,284168.0,33773.0,,P80Z,,Human Services,Micro,Marc A Somberg Memorial Foundation,23714,23353,1.55,24280,0.33,stable,34982,0.0,False,False
113643210,ENVISAGE LIFE,% PRESBYTERIAN SENIORCARE,1215 HULTON RD,OAKMONT,PA,15139,0000,03,3,1000,200210,1,15,000000000,1,01,202312,8,7,01,0,12,12952923.0,6049495.0,5225811.0,P75,,Human Services,Large,Envisage Life,5247421,4254915,23.33,634089,0.3,strong_momentum_up,5040116,89.72,False,False
113666054,ALLEGHENNY COUNCIL TO IMPROVE OUT NEIGHBORHOODS-HOUSING INC,% ACTION-HOUSING INC,611 WILLIAM PENN PL STE 800,PITTSBURGH,PA,15219,3353,03,9,1000,195710,1,15,380000000,1,01,202306,7,4,01,0,06,5002701.0,139776.0,139776.0,S212,CHI AFFORDABLE HOUSING INC,Community Development,Small,Alleghenny Council To Improve Out Neighborhoods Housing Inc,437165,589240,-25.81,-666851,1.67,turbulent,292098,4.11,True,True
113694315,PORTIUNCULA FOUNDATION OF THE SISTERS OF ST FRANCIS OF THE NEUMA,% ANN CARVILLE,146 HAWTHORNE RD,PITTSBURGH,PA,15209,0928,03,9,1700,194603,1,17,031150120,5,01,202406,7,5,01,0,06,5852270.0,711053.0,81580.0,,,Unknown,Medium,Portiuncula Foundation Of The Sisters Of St Francis Of The Neuma,251248,419192,-40.06,-216146,0.6,turbulent,123451,0.0,True,True
113708851,UNIVERSITY OF PITTSBURGH AND UPMC MEDICAL AND HEALTH SCIENCES FDN,% UPMC CORPORATE TAX US STEEL TOWER,116 ATWOOD STREET SUITE 201,PITTSBURGH,PA,15213,0000,03,3,1000,200512,1,17,000000000,0,01,202306,0,8,01,0,06,0.0,13768619.0,13768619.0,T30,ALAN A GARFINKEL,Philanthropy & Foundations,Major,University Of Pittsburgh And Upmc Medical And Health Sciences Fdn,13164950,11562818,13.86,-403958,0.17,weak_up,13108322,0.0,True,False
113761071,ELIZA C FUNK CHARITABLE FOUNDATION,% PNC BANK N A TTEE TAX DEPT,116 ALLEGHENY CENTER MALL P8YB3502L,PITTSBURGH,PA,15212,0000,03,3,1000,200606,1,04,000000000,2,01,202312,6,6,00,1,12,4886821.0,2610344.0,,T20,,Philanthropy & Foundations,Large,Eliza C Funk Charitable Foundation,187812,504298,-62.76,-3526,0.5,turbulent,138455,0.0,True,True
116227659,FATHER FLANAGAN BOYS HOME 2,% BNY MELLON NA TTEE,PO BOX 185,PITTSBURGH,PA,15230,0000,92,3,1000,000000,0,00,909000000,6,12,202312,6,5,00,1,03,1116450.0,939085.0,,,,Unknown,Medium,Father Flanagan Boys Home 2,132288,68969,91.81,86797,0.67,turbulent,138195,0.0,True,True
116325180,TR U W EVELYN PRAY B O UNITED METHODIST CHURCH OF HEMPSTEAD,,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198707,1,04,602000000,2,01,202401,4,4,00,1,01,330284.0,193605.0,,,,Unknown,Small,Tr U W Evelyn Pray B O United Methodist Church Of Hempstead,29796,36297,-17.91,-25529,0.9,turbulent,2013,0.0,False,True
116325181,TR U W EVELYN PRAY B O METHODIST HOME OF BROOKLYN,% BNY MELLON NA,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198707,1,04,602000000,2,01,202401,4,3,00,1,01,168569.0,93211.0,,,,Unknown,Small,Tr U W Evelyn Pray B O Methodist Home Of Brooklyn,15828,24250,-34.73,-13958,1.23,turbulent,1017,0.0,False,True
116325182,TR U W EVELYN PRAY B O METHODIST HOSPITAL OF BROOKLYN,% THE BANK OF NEW YORK MELLON,PO BOX 185,PITTSBURGH,PA,15230,0000,03,3,1000,198707,1,04,602000000,2,01,202401,4,4,00,1,01,280445.0,159120.0,,,,Unknown,Small,Tr U W Evelyn Pray B O Methodist Hospital Of Brooklyn,25199,33224,-24.15,-23686,1.04,turbulent,455,0.0,False,True
