EIN,ORG_NAME,REV_2019,REV_2020,REV_2021,REV_2022,REV_2023,CAGR,VOLATILITY,YEARS_UP,YEARS_DOWN,PEAK_YEAR,TROUGH_YEAR,REBOUND_RATE
010561621,Squirrel Hill Baseball Association,129383.0,84337.0,104780.0,,,,22555.0,1,1,2019,2020,
010563073,Treasure House,410185.0,117537.0,261537.0,334639.0,,,124720.0,2,1,2019,2020,
010587702,Bodiography Contempoary Ballet,72880.0,60801.0,120917.0,102572.0,,,27432.0,1,2,2021,2020,
010617023,Center Of Life,1192889.0,2195057.0,4666316.0,,,,1787743.0,2,0,2021,2019,
010659779,Golden Triangle Performance Ensemble,29932.0,19611.0,29086.0,38069.0,,,7553.0,2,1,2022,2020,
010729457,Kentucky Avenue School,951364.0,769283.0,819105.0,933708.0,,,88322.0,2,1,2019,2020,
010732500,Hill District Consensus Group,212223.0,376449.0,631681.0,1034044.0,,,357978.0,3,0,2022,2019,
010752319,Pittsburgh Regional Healthcare Initiative,1379831.0,695933.0,473154.0,465068.0,,,431042.0,0,3,2019,2022,
010806304,Pennsylvania Affordable Housing Corporation,281529.0,294714.0,297058.0,1763249.0,,,736106.0,3,0,2022,2019,
010819772,Pta Pennsylvania Congress,29394.0,3593.0,7984.0,17995.0,16888.0,(-12.94+0j),9986.0,2,2,2019,2020,370.03
010867393,C R Jrs Chip Inc,1440587.0,1854936.0,1682421.0,1255257.0,,,264001.0,1,2,2020,2022,
010968274,Bauerstown Baseball & Softball Association,121663.0,59983.0,122528.0,109914.0,,,29591.0,1,2,2021,2020,
016173503,Evelyn E Stricklin Scholarship Foundation,,-21509.0,131700.0,162708.0,,,98633.0,2,0,2022,2020,
016208130,Pryor E Arlene R Neuber Charitable Tr,1139972.0,275940.0,1115380.0,102352.0,,,546567.0,1,2,2019,2022,
016226621,William F Troxell Charitable Tr,44404.0,9230.0,121564.0,4768.0,,,54039.0,1,2,2021,2022,
020460247,Granite State Elec Co Post Ret Ben Tr For Emp Sub To Collect Bargain,12811268.0,13440487.0,24415909.0,20417772.0,,,5612857.0,2,1,2021,2019,
020460249,Granite State Electric Co Ret Ben Tr For Union Employees,16554804.0,17831563.0,130825767.0,46584354.0,,,53737236.0,2,1,2021,2019,
020559825,Tickets For Kids Foundation,7496053.0,1769467.0,2879434.0,5773612.0,,,2625440.0,2,1,2019,2020,
020560694,The Bank Of New York Mellon Corporation Supplemental Unemploye,89088360.0,52923652.0,48000088.0,27117489.0,,,25759793.0,0,3,2019,2022,
020642820,Republic Retiree Veba Benefit Tr,9467286.0,10629882.0,8095970.0,6633144.0,,,1727208.0,1,2,2020,2022,
020649650,Childrens Sickle Cell Foundation,369160.0,635247.0,650581.0,834910.0,,,191703.0,3,0,2022,2019,
020704699,Gateway Medical Society Inc,120872.0,155306.0,275090.0,133011.0,,,70798.0,2,1,2021,2019,
020726918,Montour Valley Firemens Relief Fund,54089.0,56140.0,51478.0,71986.0,,,9241.0,2,1,2022,2021,
