SECTOR,org_count,total_revenue,avg_revenue,Large,Major,Medium,Micro,Small,Unknown
Animal Welfare,107,85150064.0,834804.55,3,4,10,59,26,5
Arts & Culture,485,545831400.0,1237712.93,41,11,63,252,74,44
Civil Rights & Advocacy,31,12543158.0,482429.15,4,0,5,13,4,5
Community Development,335,227070568.0,749407.82,40,5,44,169,45,32
Crime & Legal Services,55,76759390.0,1505086.08,11,2,2,22,14,4
Diseases & Disorders,65,111985658.0,1835830.46,11,3,9,31,7,4
Education,769,8514948651.0,11859259.96,92,42,98,373,113,51
Employment,85,250638893.0,3172644.22,12,5,9,50,3,6
Environment,109,156536622.0,1519773.03,18,4,17,54,10,6
Food & Nutrition,52,122456853.0,2721263.4,3,2,6,18,16,7
Health,330,11524539793.0,44842567.29,71,47,30,76,33,73
Housing & Shelter,164,344802686.0,2283461.5,26,5,36,46,38,13
Human Services,544,1200533499.0,2480441.11,96,29,57,235,67,60
International Relief,69,127775471.0,1935991.98,6,1,12,32,15,3
Medical Research,29,130619559.0,4837761.44,2,3,2,15,5,2
Mental Health & Crisis,94,160284560.0,1931139.28,16,3,9,46,9,11
Mutual Benefit,133,3410208724.0,27281669.79,32,32,12,40,9,8
Philanthropy & Foundations,1304,3527017545.0,2761955.79,302,46,351,237,341,27
Public Benefit,103,54911739.0,603425.7,7,2,12,56,14,12
Public Safety,106,28072351.0,275219.13,7,0,30,35,30,4
Recreation & Sports,407,70027138.0,192382.25,18,0,18,228,100,43
Religion,464,101474344.0,483211.16,16,2,23,128,41,254
Science & Technology,29,73808986.0,2838807.15,4,2,4,14,2,3
Social Science Research,6,7898587.0,1316431.17,3,0,1,1,1,0
Unknown,4345,47482611186.0,12733336.33,509,159,752,1332,977,616
Youth Development,165,69462270.0,499728.56,11,1,18,84,25,26
