EIN,NAME,SECTOR,INCOME_AMT,ASSET_AMT,ZIP
208295721,UPMC,Unknown,23555022899.0,12455585375.0,15219
821406555,HIGHMARK HEALTH,Unknown,5792513246.0,4334308148.0,15222
250965591,UNIVERSITY OF PITTSBURGH,Education,5754762599.0,9680542422.0,15213
251423657,UPMC,Health,4315593528.0,10348126493.0,15219
250969449,CARNEGIE MELLON UNIVERSITY,Unknown,3207122806.0,6841480872.0,15213
250502660,GBU FINANCIAL LIFE,Unknown,1820226307.0,4426033902.0,15227
251778644,UPMC PINNACLE HOSPITALS,Health,1629023443.0,978804042.0,15219
251732974,UNITED STATES STEEL CORPORATION REPRESENTED RETIREES BENEFIT TRUST,Unknown,1344534244.0,1700609361.0,15219
250818080,UNITED STEELWORKERS,Unknown,1344116995.0,1803676612.0,15222
306073592,THE DEERE & COMPANY WELFARE BENEFIT VEBA FOR SALARIED EMPLOYEES,Mutual Benefit,1043454621.0,2296729425.0,15253
231317409,STEELWORKERS HEALTH & WELFARE FUND,Unknown,893965751.0,105803367.0,15222
251035663,DUQUESNE UNIVERSITY OF THE HOLY SPIRIT,Education,817824615.0,1090118452.0,15282
453674900,HIGHMARK HEALTH,Health,572423858.0,689168025.0,15222
251709054,PINNACLE HEALTH MEDICAL SERVICES,Health,523275900.0,102950677.0,15219
250965466,PITTSBURGH FOUNDATION,Philanthropy & Foundations,519720812.0,1401303944.0,15222
611663540,ST CLAIR HEALTH CORPORATION,Unknown,512129520.0,768488850.0,15243
251801532,HERITAGE VALLEY HEALTH SYSTEM,Health,434086748.0,579718574.0,15143
240795508,UPMC,Health,417811475.0,289908890.0,15219
520591531,UPMC WESTERN MARYLAND CORPORATION,Health,399368244.0,389832576.0,15219
161457001,CORNELL MEDICAL BENEFITS TR,Philanthropy & Foundations,393208241.0,376559315.0,15212
436237050,TRUST AGREEMENT FOR DUKE ENERGY CORP WELFARE BENEFITS TRUST VEBA I,Unknown,335346141.0,1612332.0,15253
516024654,AMERICAN ELECTRIC POWER SYSTEM EMPLOYEES BENEFIT TR,Unknown,311068933.0,38922673.0,15253
752472686,AMERICAN ELECTRIC POWER SYSTEM RETIREE MEDICAL TRUST,Mutual Benefit,293930286.0,791062314.0,15253
251562716,THE HEMOPHILIA CENTER OF WESTERN PENNSYLVANIA,Health,280485769.0,194127213.0,15220
266330284,RETIREES OF THE GOODYEAR TIRE & RUBBER COMPANY HEALTH CARE TR,Mutual Benefit,273213826.0,855442238.0,15222
256035806,LABORERS DISTRICT COUNCIL OF,Unknown,272821599.0,479750876.0,15222
251756557,MCELHATTAN FOUNDATION,Education,270593973.0,246565499.0,15232
251384468,EDEN HALL FOUNDATION,Unknown,268908632.0,253314593.0,15219
251113452,SARAH SCAIFE FOUNDATION INC,Unknown,229341134.0,610288544.0,15219
231360851,UPMC HANOVER,Health,218673427.0,111719618.0,15219
366551984,EMPLOYEE BENEFIT TRUST OF HARRIS TRUST AND SAVINGS BANK AND,Mutual Benefit,206410543.0,11119142.0,15253
820912090,UPMC MEMORIAL,Health,205664037.0,238028065.0,15219
251778658,UPMC PINNACLE,Health,201694680.0,614129990.0,15219
250849687,UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA,Unknown,189425953.0,439629882.0,15205
251462312,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,Health,186821167.0,101671185.0,15213
820880337,UPMC CARLISLE,Health,174149568.0,100957209.0,15219
160743226,UPMC CHAUTAUQUA AT WCA,Health,171343049.0,106287929.0,15219
364711746,DIETRICH FOUNDATION,Philanthropy & Foundations,164712958.0,1498770520.0,15219
391669331,ENBRIDGE EMPLOYEE SERVICES INC WELFARE BENEFIT PLANS TRUST,Unknown,162213683.0,132608073.0,15253
411738267,VOLUNTARY EMPLOYEES BENEFICIARY ASSOCIATION FOR THE GENERAL MILLS,Unknown,160422166.0,227505927.0,15253
251094922,POINT PARK UNIVERSITY,Unknown,160317541.0,191322220.0,15222
251624347,JEWISH HEALTHCARE FOUNDATION OF PITTSBURGH,Health,153327140.0,176656540.0,15222
311479839,COLCOM FOUNDATION,Philanthropy & Foundations,153286496.0,437794022.0,15222
356247168,ENGLISH-BONTER-MITCHELL FOUNDATION,Unknown,144582433.0,141874341.0,15212
256012303,ALLEGHENY FOUNDATION,Unknown,141313558.0,366453600.0,15219
250717890,CHATHAM UNIVERSITY,Education,140809590.0,217295408.0,15232
237007718,THE GREATER PENNSYLVANIA CARPENTERS MEDICAL PLAN,Unknown,139664422.0,397391244.0,15205
133817903,ENTERGY CORP COMPANIES BARGAINING EMPLOYEES WELFARE BENEFIT TRUST,Unknown,137237741.0,357008654.0,15253
820844453,UPMC LITITZ,Health,134256247.0,62572302.0,15219
134009945,VEBA HEALTH INSURANCE TRUST FOR NON-UNION EMPLOYEES OF KEYSPAN,Mutual Benefit,129469090.0,156551799.0,15253
341773468,EMPIRE-TILDEN-CLEVELAND CLIFFS IRON MICHIGAN CENTRAL SHOPS RETIREE,Unknown,128923542.0,200524385.0,15253
261860594,USW RETIREES OF THE DANA CORPORATION HEALTH CARE TR,Mutual Benefit,127681116.0,218795816.0,15222
251187299,OPERATING ENG LOCAL 66 WELFARE FUND,Unknown,126205374.0,280515866.0,15238
274344749,UNITED STATES STEEL CORPORATION RETIREE INSURANCE BENEFITS TRUST,Mutual Benefit,124755516.0,25458527.0,15219
201203429,VEBA FOR RETIREES OF KAISER ALUMINUM,Mutual Benefit,124547461.0,845350941.0,15222
043296043,FUND FOR CHARITABLE GIVING,Philanthropy & Foundations,124233833.0,126871765.0,15212
943148512,P G & E POST RETIREMENT MED PL TR NON-MGMT EMPLOYEES & RETIREES,Unknown,123615658.0,1816336241.0,15253
256065959,HILLMAN FAMILY FOUNDATIONS,Unknown,118843026.0,1865996880.0,15219
251017602,JEWISH FEDERATION OF GREATER PITTSBURGH,Philanthropy & Foundations,108999542.0,329434903.0,15219
526021749,ZACHARY SMITH REYNOLDS TRUST,Unknown,108645026.0,187816465.0,15212
251604115,MERCY LIFE CENTER CORPORATION,Health,107228413.0,170649492.0,15233
020560694,THE BANK OF NEW YORK MELLON CORPORATION SUPPLEMENTAL UNEMPLOYE,Mutual Benefit,107148538.0,0.0,15253
251753852,PITTSBURGH CARE PARTNERSHIP INC COMMUNITY LIFE,Health,106411072.0,69526562.0,15221
256032106,IBEW LOCAL UNION 5 & WESTERN PA CHAPTER NECA,Unknown,103875835.0,116043162.0,15203
812537026,THE PNC FINANCIAL SERVICES GROUP INC RETIREE HEALTHCARE AND LIFE,Mutual Benefit,102592336.0,256537722.0,15222
133913427,KEYSPAN CORPORATION LIFE INSURANCE MASTER TR FOR MANAGEMENT EMPLOYEES,Mutual Benefit,102169235.0,95223431.0,15253
251309888,GRABLE FOUNDATION,Unknown,100136709.0,326491183.0,15222
346562544,BROTHERS BROTHER FOUNDATION,International Relief,99577433.0,49546949.0,15233
250965438,CARLOW UNIVERSITY,Education,98157292.0,126780809.0,15213
251469002,THE PITTSBURGH CULTRURAL TRUST,Arts & Culture,96582121.0,242875554.0,15222
133364852,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,Unknown,96529773.0,61478605.0,15253
250856580,WILLIAM PENN ASSOCIATION,Unknown,96182504.0,524904561.0,15233
251420599,GREATER PITTSBURGH COMMUNITY FOOD BANK,Food & Nutrition,94297225.0,59980499.0,15110
742986045,CHEVRON PHILLIPS CHEMICAL CO LP HEALTH & BENEFIT TR VEBA,Education,94089382.0,16099982.0,15253
251091698,ISDA FRATERNAL ASSOCIATION,Unknown,93392756.0,381137563.0,15222
521324746,HAWTHORNDEN FOUNDATION,Unknown,92577179.0,215258550.0,15222
251332885,CENTER FOR ORGAN RECOVERY AND EDUCATION,Health,92074862.0,145896140.0,15238
863980032,ABRAXAS ALLIANCE INC,Human Services,90989620.0,22087937.0,15222
251095386,WESTERN PENNSYLVANIA SCHOOL FOR THE DEAF,Education,90464470.0,145961087.0,15218
943237150,PACIFICORP UNION EMPLOYEES WELFARE BENEFITS TRUST,Unknown,86234729.0,190384278.0,15253
